# x0 x1 x2 x3 x4 amplitude sigma
0.204000 -0.217196 0.854630 -0.760504 -0.185487 1.000000 1.448728
-0.538881 -0.318231 0.368346 0.066411 0.173164 1.000000 1.243644
-0.742987 0.726992 0.653455 0.911637 0.430971 1.000000 0.538329
-0.619252 0.833631 0.912828 0.467463 -0.424986 1.000000 0.825373
-0.946320 -0.970373 -0.138621 -0.210887 0.293347 1.000000 0.820932
-0.524228 0.407397 -0.368826 -0.639177 -0.894486 1.000000 0.905541
-0.174305 -0.691376 0.391904 -0.039325 0.784253 1.000000 0.572536
-0.640055 0.650943 -0.574841 -0.337237 -0.672384 1.000000 0.829761
0.749827 -0.759066 0.262013 -0.828441 -0.473387 1.000000 1.276319
-0.465811 -0.952741 -0.451990 -0.101470 -0.454612 1.000000 0.672832
-0.558476 0.330755 0.379586 0.149676 -0.818954 1.000000 1.027387
0.978723 0.663618 0.248352 -0.278288 -0.637677 1.000000 0.747813
0.886848 0.773231 -0.913400 0.738013 0.029485 1.000000 0.560309
0.793888 -0.697227 -0.954531 -0.304909 0.068012 1.000000 0.694126
-0.637495 0.590259 0.201268 0.338709 0.249157 1.000000 0.936243
