# x0 x1 x2 x3 amplitude sigma
-0.163299 0.149762 -0.641711 -0.272767 1.000000 1.150154
0.549024 0.043303 -0.713408 0.201716 1.000000 1.448109
-0.943962 -0.601575 -0.509443 -0.711817 1.000000 0.888029
0.050750 -0.056785 0.082250 -0.954916 1.000000 1.141296
0.462664 0.807234 0.301348 0.717063 1.000000 1.190512
0.749195 -0.473107 -0.685436 0.194897 1.000000 0.626609
-0.836061 -0.371496 0.761788 -0.175217 1.000000 0.739467
-0.065529 -0.273432 0.799016 -0.690031 1.000000 0.754157
0.425678 0.014934 -0.118811 0.779444 1.000000 0.926442
-0.294188 0.998494 0.908315 -0.372899 1.000000 1.339003
0.145309 0.906636 0.896727 -0.841147 1.000000 1.245034
-0.217564 -0.414761 0.363514 0.148280 1.000000 0.880679
-0.871608 0.914920 -0.823037 0.937552 1.000000 0.761693
0.929349 0.881441 -0.212728 -0.691923 1.000000 0.553334
0.281664 -0.579110 0.676386 0.074375 1.000000 0.936896
0.645683 -0.926769 -0.289549 -0.675701 1.000000 0.708979
