# x0 x1 amplitude sigma
0.329112 -0.580961 1.000000 0.546041
-0.543955 -0.468791 1.000000 0.870242
-0.580962 -0.949895 1.000000 0.742318
-0.884707 0.039109 1.000000 1.128480
-0.853826 0.938763 1.000000 1.490110
0.555012 0.310536 1.000000 0.630588
0.695340 -0.749362 1.000000 0.673589
-0.383473 -0.698314 1.000000 0.758314
-0.797094 -0.944751 1.000000 0.918399
-0.140828 0.727573 1.000000 0.631019
0.874582 0.849327 1.000000 0.790450
-0.715621 -0.909636 1.000000 0.995306
0.025842 -0.677760 1.000000 1.467004
0.660297 0.114803 1.000000 0.797390
-0.292890 -0.198410 1.000000 1.151802
