# x0 x1 amplitude sigma
0.814360 -0.899604 1.000000 1.147551
-0.857775 -0.725095 1.000000 1.007150
0.376585 -0.438702 1.000000 1.028341
0.351637 -0.476445 1.000000 1.396285
-0.111448 -0.578243 1.000000 1.199991
-0.842265 0.640454 1.000000 1.214297
0.362454 0.720108 1.000000 1.217338
0.287001 0.849745 1.000000 0.722819
0.731561 -0.011769 1.000000 0.675155
0.719693 -0.936868 1.000000 0.956841
-0.613241 -0.907879 1.000000 1.428738
0.012660 -0.482987 1.000000 0.509886
0.814825 0.498019 1.000000 0.589922
0.381847 -0.099874 1.000000 1.350200
-0.396996 -0.790042 1.000000 0.985621
