# x0 x1 amplitude sigma
0.851501 0.107198 1.000000 0.999694
-0.265959 -0.063873 1.000000 0.755937
0.703221 0.548319 1.000000 0.758101
0.671286 0.647359 1.000000 0.596922
0.748742 -0.813234 1.000000 1.064185
0.459229 -0.887763 1.000000 0.515990
0.421745 -0.168767 1.000000 0.652595
0.155171 0.742295 1.000000 0.980248
-0.335361 -0.819688 1.000000 0.599873
0.162901 -0.442556 1.000000 0.916964
-0.019249 0.488808 1.000000 1.413651
-0.391245 -0.072313 1.000000 0.850720
0.521315 -0.014054 1.000000 0.614604
0.211109 -0.496312 1.000000 1.212608
-0.739036 0.240243 1.000000 0.601886
