# x0 x1 x2 amplitude sigma
0.583309 -0.908760 0.823658 1.000000 1.112170
0.285205 0.063733 -0.349838 1.000000 0.669070
0.320200 -0.663150 0.603845 1.000000 0.936059
-0.273472 0.029232 -0.901839 1.000000 1.269262
-0.470107 -0.734012 -0.753045 1.000000 0.795325
-0.606881 0.137123 0.809974 1.000000 0.649163
0.850672 0.910902 0.908545 1.000000 0.522478
0.995598 0.491540 -0.538418 1.000000 0.920224
0.682618 -0.027130 -0.653151 1.000000 0.738682
-0.129632 0.505140 -0.855184 1.000000 0.837656
0.980814 -0.811561 0.527977 1.000000 1.490712
0.647772 -0.707644 -0.568608 1.000000 0.737726
-0.227669 -0.345960 0.201246 1.000000 0.581193
0.221545 -0.271349 0.477072 1.000000 1.169600
-0.747324 0.498473 0.970904 1.000000 1.121243
