# x0 x1 amplitude sigma
0.787168 -0.597308 1.000000 0.702607
-0.773341 0.818021 1.000000 0.707093
0.366657 0.639468 1.000000 0.652638
0.479785 0.435367 1.000000 1.254593
0.265671 -0.562555 1.000000 0.727427
0.229340 -0.139341 1.000000 1.164082
-0.160093 0.126233 1.000000 1.089218
0.219982 0.014946 1.000000 0.921647
0.272077 -0.187237 1.000000 1.356024
-0.388424 0.670569 1.000000 0.986753
-0.175732 0.406115 1.000000 0.750352
0.696927 0.641919 1.000000 1.342419
-0.728645 -0.035982 1.000000 1.299829
0.999391 -0.917157 1.000000 1.272441
0.015292 -0.987013 1.000000 1.319672
