# x0 x1 amplitude sigma
0.037144 0.408871 1.000000 0.757042
-0.686684 0.531540 1.000000 1.183788
0.924996 -0.274661 1.000000 1.163642
-0.741539 -0.668521 1.000000 1.277130
0.765452 -0.773226 1.000000 1.327367
-0.352923 -0.123101 1.000000 0.856684
0.916121 -0.123052 1.000000 0.886736
-0.829286 0.442837 1.000000 1.243409
0.772977 -0.928482 1.000000 0.782541
0.155085 0.141514 1.000000 0.794077
-0.511838 -0.204762 1.000000 1.073991
0.808682 0.444308 1.000000 0.547124
0.138984 -0.123145 1.000000 0.887084
0.249380 0.051138 1.000000 1.334577
0.382769 -0.866473 1.000000 1.021067
