# x0 x1 x2 x3 amplitude sigma
-0.485846 0.232568 0.826190 -0.002763 1.000000 1.070532
0.529263 -0.970082 0.672221 0.619356 1.000000 0.768260
-0.278032 -0.007020 -0.061159 0.480302 1.000000 1.105295
-0.403430 -0.392510 -0.295044 0.551810 1.000000 0.584856
0.931250 0.934842 -0.498557 0.686162 1.000000 1.473654
0.040887 -0.399230 0.125764 -0.168556 1.000000 1.016339
0.395363 -0.145138 -0.457875 0.604498 1.000000 1.388989
-0.733822 0.748751 0.576199 0.858834 1.000000 0.597392
0.578371 0.252004 -0.090272 -0.550429 1.000000 0.589090
-0.871819 -0.108061 0.392263 0.193458 1.000000 0.518426
0.912488 -0.257832 -0.010185 0.698285 1.000000 1.284254
-0.636745 0.493037 0.810261 -0.460555 1.000000 0.522194
0.676459 -0.193357 0.709680 0.804158 1.000000 0.661953
0.702295 0.034037 -0.681536 -0.959584 1.000000 0.924496
0.422547 -0.087966 0.553054 -0.800394 1.000000 0.728520
0.943776 -0.121799 -0.957995 0.491838 1.000000 0.677743
