# x0 x1 x2 x3 x4 amplitude sigma
0.579294 -0.156498 -0.608444 -0.285543 0.695934 1.000000 0.593344
0.170365 -0.995781 -0.906221 -0.303450 0.721414 1.000000 1.390943
-0.029041 -0.242673 0.413496 -0.449664 -0.420723 1.000000 0.976734
0.923232 0.900631 -0.623916 -0.458956 -0.419576 1.000000 0.673522
-0.964728 0.620255 0.789762 -0.252572 -0.879462 1.000000 1.211107
0.114463 -0.943632 -0.936249 0.969340 0.037284 1.000000 1.007975
0.457832 0.869803 0.684145 -0.880387 -0.643903 1.000000 0.959044
-0.000601 0.119961 -0.586236 -0.545774 0.066105 1.000000 1.307376
0.368944 0.386887 0.562743 0.096082 -0.424082 1.000000 1.179957
-0.233501 0.948514 -0.743623 -0.486381 0.317895 1.000000 0.795172
-0.493911 -0.307697 0.431013 -0.363373 -0.172349 1.000000 1.091428
-0.683955 -0.469318 0.961285 -0.266793 0.815878 1.000000 0.593735
-0.850926 -0.525420 -0.958517 -0.940383 0.056417 1.000000 1.298578
0.536003 0.386423 0.532393 -0.796671 -0.882415 1.000000 0.766579
-0.053530 0.198981 -0.507124 -0.640053 0.838939 1.000000 1.117512
-0.468489 -0.968815 0.168161 0.164944 0.275509 1.000000 0.796700
-0.651092 0.212198 0.303927 -0.986804 0.844267 1.000000 1.489607
-0.775758 -0.164557 -0.937262 0.467401 0.858974 1.000000 0.891460
-0.893370 0.649670 -0.400181 0.474123 -0.758233 1.000000 0.913225
-0.248006 -0.133505 -0.460837 0.916621 -0.145665 1.000000 1.047585
-0.068563 -0.333231 -0.052977 -0.286550 0.392983 1.000000 1.485996
-0.887915 -0.696749 0.582832 -0.048942 0.856767 1.000000 1.044246
-0.250027 0.818824 0.265388 0.379856 -0.774935 1.000000 1.211827
0.875834 0.301071 -0.756136 0.849284 -0.625121 1.000000 1.400612
-0.402812 -0.052018 0.282517 -0.580598 -0.077630 1.000000 0.698058
-0.131963 0.933573 0.798244 0.213477 0.662788 1.000000 0.557195
0.031010 -0.255349 -0.584326 0.331983 0.990941 1.000000 1.435315
-0.987079 -0.982841 0.551052 -0.174514 0.222204 1.000000 0.600029
0.362087 -0.308970 -0.235893 0.252915 -0.228206 1.000000 1.312202
-0.374782 0.075064 0.353335 -0.383337 0.972220 1.000000 1.157486
0.020716 -0.557508 -0.580456 -0.887714 0.705564 1.000000 0.974039
0.227098 0.301591 -0.059682 -0.810313 0.056865 1.000000 0.767677
-0.420481 0.770790 0.739336 0.470982 0.151749 1.000000 0.646426
-0.784230 -0.734524 0.561951 -0.383640 -0.634208 1.000000 0.937897
-0.333375 -0.197246 0.821456 -0.288391 0.760231 1.000000 0.951464
-0.421946 0.890897 -0.309926 -0.648425 -0.014886 1.000000 1.091726
-0.318155 0.330661 0.784198 0.759758 -0.836749 1.000000 0.676940
-0.059174 -0.411789 -0.746766 0.601971 -0.749604 1.000000 1.228427
