# x0 x1 x2 amplitude sigma
-0.412796 -0.861272 -0.860030 1.000000 1.111461
-0.750017 0.748304 0.579664 1.000000 0.991426
0.577790 -0.299682 0.012032 1.000000 1.199284
0.707385 0.039577 0.964291 1.000000 0.694569
-0.226018 0.417521 -0.468608 1.000000 1.274954
-0.473599 0.537358 -0.731941 1.000000 1.207893
0.610583 -0.075004 -0.854172 1.000000 0.865080
0.630297 -0.107325 -0.312091 1.000000 1.472097
-0.493074 0.697352 -0.945461 1.000000 0.592968
0.649091 -0.166720 0.670661 1.000000 0.913770
-0.627336 0.405861 0.216985 1.000000 0.561064
-0.314845 -0.575374 -0.805529 1.000000 0.799275
-0.029845 -0.429508 0.249215 1.000000 1.496042
0.831717 0.338629 -0.742730 1.000000 1.421349
-0.020905 0.297861 0.404021 1.000000 0.952572
