# x0 x1 x2 amplitude sigma
0.565577 0.917856 0.110211 1.000000 0.662705
-0.468204 -0.993720 0.477515 1.000000 1.254781
0.475714 -0.926033 -0.083884 1.000000 1.063402
-0.038607 -0.536431 -0.885501 1.000000 0.725264
-0.087068 -0.510998 -0.725218 1.000000 0.841262
-0.063607 -0.967903 -0.709309 1.000000 0.652491
0.493204 0.814743 0.187772 1.000000 0.845191
-0.948194 -0.282426 -0.741233 1.000000 0.541675
-0.952911 -0.579344 -0.999928 1.000000 0.747940
0.119210 0.509286 -0.219407 1.000000 1.099773
0.926418 -0.545922 0.236709 1.000000 1.470971
0.506814 -0.600728 0.670232 1.000000 1.202064
-0.998056 0.310043 0.787123 1.000000 1.219949
0.529874 -0.251740 0.510643 1.000000 0.697618
-0.528952 -0.988302 -0.363496 1.000000 0.995802
