# x0 x1 x2 amplitude sigma
-0.878877 -0.864413 0.260693 1.000000 0.508565
-0.264006 -0.441602 0.519858 1.000000 1.454307
-0.564662 -0.297910 -0.412801 1.000000 0.949565
0.270143 0.612426 -0.217286 1.000000 1.110219
0.812541 0.183912 0.120439 1.000000 1.352060
0.940636 0.615944 0.636395 1.000000 1.238810
-0.552546 0.140804 -0.153300 1.000000 1.474432
-0.577184 -0.069938 -0.745205 1.000000 1.357462
0.164454 0.074193 0.455779 1.000000 1.355410
0.250484 -0.126284 0.717613 1.000000 1.359526
-0.773210 -0.269079 0.155995 1.000000 0.852279
0.001990 0.910150 0.315355 1.000000 0.712032
0.945156 -0.240337 -0.434925 1.000000 1.280444
-0.554332 0.660775 -0.161995 1.000000 1.399411
-0.732472 -0.052177 0.413386 1.000000 0.547740
