# x0 x1 x2 x3 amplitude sigma
0.621052 -0.327473 -0.112065 -0.563869 1.000000 1.280904
-0.834965 -0.866015 0.583306 -0.340234 1.000000 0.881145
0.951216 -0.668480 0.416955 -0.898362 1.000000 1.328638
0.135965 -0.511420 0.374907 -0.977171 1.000000 1.281683
0.773899 -0.855106 0.155180 -0.555460 1.000000 1.301597
0.195155 0.730888 0.336827 -0.313365 1.000000 0.856902
0.609317 -0.435691 -0.107412 -0.492903 1.000000 1.462122
-0.472398 0.052021 -0.738849 0.347879 1.000000 0.856240
-0.037016 -0.164671 0.113059 -0.950540 1.000000 1.318580
0.389938 -0.791614 -0.700878 0.343077 1.000000 1.405188
0.441705 -0.481697 -0.461844 -0.146465 1.000000 0.542763
-0.627490 0.777653 0.909066 0.558863 1.000000 0.516190
0.544402 -0.868847 0.666281 0.293814 1.000000 1.056046
0.773204 0.671301 -0.195314 -0.200162 1.000000 0.580528
0.936237 0.977742 -0.765648 -0.067438 1.000000 1.464257
0.250774 0.591064 -0.882394 -0.411349 1.000000 0.908515
