# x0 x1 x2 amplitude sigma
0.778946 0.743177 0.918960 1.000000 1.111461
0.576863 0.529418 -0.462613 1.000000 0.991426
0.312021 0.906001 -0.965690 1.000000 1.199284
0.235254 -0.273331 0.185652 1.000000 0.694569
0.156830 -0.374046 0.837050 1.000000 1.274954
0.956617 -0.240693 0.770783 1.000000 1.207893
-0.478356 -0.767116 -0.515021 1.000000 0.865080
0.647426 0.166239 -0.546579 1.000000 1.472097
0.797047 0.889683 -0.435516 1.000000 0.592968
-0.622919 0.234723 0.852766 1.000000 0.913770
0.283465 -0.280877 0.549065 1.000000 0.561064
-0.318125 -0.116512 0.250274 1.000000 0.799275
0.371320 0.520449 -0.780960 1.000000 1.496042
-0.565030 0.250733 -0.781685 1.000000 1.421349
-0.787253 -0.874750 0.890352 1.000000 0.952572
