# x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 amplitude sigma
0.702669 -0.431426 0.847881 0.534592 -0.844852 0.345430 -0.348716 0.973639 0.605970 0.411718 -0.289214 -0.533129 -0.101578 0.144237 0.279347 1.000000 0.714050
-0.214334 0.261175 0.607803 0.062755 0.467778 -0.177320 0.918079 0.434466 0.339985 -0.293765 -0.214212 0.565487 -0.865983 -0.774304 0.882732 1.000000 1.470845
-0.248241 0.223415 0.094757 0.687453 -0.753993 -0.170386 0.808177 -0.954766 0.037192 -0.811599 -0.948991 -0.844620 -0.070200 0.019401 -0.296598 1.000000 0.976911
-0.011900 -0.640066 0.545773 0.194468 -0.537677 -0.894296 0.165684 -0.867903 0.060543 0.567628 -0.028840 0.033384 0.413025 -0.192236 0.640270 1.000000 0.736195
0.475703 0.505407 -0.828750 0.891780 -0.015982 -0.780534 0.914875 -0.071726 0.260463 -0.598589 0.745800 -0.177617 0.436502 -0.206357 -0.725655 1.000000 1.415301
0.638317 -0.405681 0.291900 -0.687183 -0.932442 0.369796 -0.651656 -0.600520 0.093128 -0.202538 -0.712858 0.946033 -0.834039 -0.664689 0.245669 1.000000 0.804251
0.518763 0.704499 -0.222473 -0.058347 0.413533 -0.639817 -0.063736 -0.720623 0.563510 -0.664082 0.222278 0.550343 -0.015797 -0.131842 0.965748 1.000000 1.302723
0.421708 0.187007 0.044798 0.898672 -0.623033 0.468603 -0.425173 -0.865908 0.702167 -0.160169 -0.191655 0.208297 0.414825 -0.636424 -0.888674 1.000000 1.490455
-0.065915 -0.192079 -0.246356 0.754997 0.818863 0.357943 0.604029 0.369400 0.364097 0.911094 0.049378 0.813474 0.262628 0.633214 0.712940 1.000000 1.313540
0.498068 -0.448228 -0.361570 -0.298640 -0.781568 -0.457094 0.985602 -0.982571 0.617935 -0.599814 0.550703 0.720320 0.004997 -0.690251 0.913108 1.000000 1.417088
0.951830 -0.437138 0.830087 0.536329 -0.777251 -0.198666 0.913219 0.184803 0.653162 0.367872 -0.097503 -0.456846 0.952063 0.831028 -0.656884 1.000000 1.152595
0.210647 -0.565736 -0.420167 -0.516452 0.549433 -0.873225 -0.700081 0.905426 -0.117662 0.634560 0.940518 0.123073 0.960870 0.403990 -0.082008 1.000000 0.780161
-0.384327 0.881544 -0.995417 0.041377 -0.392381 0.650820 0.077989 0.715321 -0.065609 0.837521 -0.049490 -0.196108 -0.997168 -0.961810 0.203462 1.000000 1.122502
0.691579 -0.824977 0.736844 0.982924 -0.987426 0.266380 0.092414 -0.671580 0.961767 0.084725 0.447438 0.412388 0.527081 0.912549 0.013541 1.000000 0.663128
0.015256 0.307303 -0.887156 -0.990456 0.676076 0.118768 -0.670574 0.683777 0.170182 -0.911689 -0.244047 0.954926 -0.653933 0.571305 0.486836 1.000000 1.264633
