# x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 amplitude sigma
-0.536628 -0.000912 0.538097 -0.498124 0.762984 0.388512 0.919402 0.922824 0.779939 -0.543285 -0.287336 0.881274 0.609420 0.405693 0.675684 -0.113964 -0.303732 0.974800 -0.376721 0.887381 1.000000 0.813550
0.158143 -0.533013 -0.985680 0.403387 0.918780 -0.668964 0.339791 -0.161628 0.670876 -0.750502 -0.717842 0.924025 -0.588444 -0.820337 0.091344 -0.870290 -0.134489 -0.837424 0.681432 -0.421260 1.000000 0.918858
-0.057091 0.274311 0.999639 0.889872 -0.777903 0.692127 0.620929 -0.414943 0.495409 -0.577322 0.330208 -0.441966 -0.027086 -0.065855 0.997674 0.673786 -0.454692 -0.594259 0.775272 0.359977 1.000000 1.490775
-0.819263 0.203437 0.540310 -0.405463 0.347118 0.383628 -0.909067 0.012765 0.767448 0.913011 -0.539701 0.868032 -0.592914 -0.991957 -0.582865 0.674762 0.768746 0.288037 -0.336204 0.144082 1.000000 0.617087
-0.712197 0.963432 -0.122518 -0.071065 0.010316 0.608849 0.917017 -0.223267 0.788828 0.348411 -0.941174 -0.685544 -0.157401 -0.264061 -0.340655 0.938335 -0.387912 -0.999551 0.149005 0.287249 1.000000 1.029229
-0.726452 -0.397326 -0.244272 0.212139 0.483834 0.638090 -0.029629 0.180042 0.461375 0.568516 0.328709 -0.441124 -0.119278 -0.220197 -0.759280 -0.149901 -0.947476 0.727274 -0.862535 0.433149 1.000000 0.768844
-0.383148 -0.542702 -0.040512 -0.862239 -0.290541 -0.711245 0.694134 0.674980 0.518746 -0.197828 0.850262 -0.270999 -0.622874 -0.541058 0.884939 -0.779845 0.906548 -0.476072 -0.957186 -0.531829 1.000000 1.144893
-0.075847 0.887758 -0.569420 -0.022691 0.520715 0.709963 0.914796 0.459945 0.972261 0.499853 0.021367 -0.764946 0.415836 0.785920 0.066381 0.513038 -0.022058 -0.458234 0.213183 0.042482 1.000000 0.685774
-0.201476 0.291138 0.298741 -0.245050 -0.222739 0.611607 -0.843175 -0.498464 -0.644082 0.467221 -0.785326 0.422560 -0.407279 -0.005524 0.705789 0.235253 0.978491 0.815051 -0.591967 -0.329057 1.000000 1.017312
-0.553097 0.557618 0.154369 0.984174 -0.701196 -0.594603 -0.079229 -0.306911 -0.174948 -0.658970 0.806416 0.197418 -0.058733 -0.823258 0.752905 0.633411 0.252558 -0.792950 -0.552350 -0.220635 1.000000 0.800241
-0.883435 -0.649746 0.857394 0.942613 -0.469290 0.939715 0.046228 0.889123 0.891920 0.631953 -0.415992 0.617648 -0.825278 0.999042 0.020831 0.255502 0.225896 0.070496 0.379456 -0.649643 1.000000 1.036834
-0.514894 0.650160 0.903806 0.254812 0.599416 0.223323 -0.458824 -0.313763 -0.223362 0.175762 -0.803884 0.895337 -0.043853 -0.329921 -0.393049 0.734657 0.177655 0.869954 0.585770 0.351188 1.000000 1.112558
0.685378 0.896463 -0.920157 0.493855 -0.406568 -0.952177 0.009923 -0.187306 0.265600 -0.209286 0.827367 0.094567 0.539599 0.422636 0.650928 -0.788467 -0.395913 -0.613068 -0.024143 -0.302568 1.000000 0.968134
0.463101 -0.991846 0.695346 -0.391075 -0.165315 -0.516454 0.559812 -0.366753 0.571381 -0.793437 -0.562018 -0.684034 -0.757904 0.292580 0.652080 -0.470164 0.816284 0.944901 -0.303507 -0.205949 1.000000 1.108215
-0.437954 0.891645 -0.479568 0.282686 -0.515653 0.808237 0.331354 0.852931 -0.161796 0.502080 -0.784468 0.549526 -0.322201 -0.905644 -0.673377 0.389091 0.057881 -0.610168 0.576104 0.135141 1.000000 1.063071
