# x0 x1 x2 x3 amplitude sigma
-0.094597 0.079276 -0.603601 -0.349583 1.000000 0.606065
0.618203 0.717737 0.989210 -0.781472 1.000000 1.245471
0.194054 -0.347806 0.121734 -0.402266 1.000000 1.072314
0.549899 -0.786858 0.333680 0.684779 1.000000 0.958241
0.840140 0.363188 -0.789198 -0.424217 1.000000 0.884706
0.255113 -0.147738 0.787326 -0.896223 1.000000 0.773989
0.898123 0.298885 -0.480617 -0.703483 1.000000 1.167962
-0.994148 -0.974122 -0.439971 -0.990438 1.000000 0.895475
0.308107 0.152114 -0.037929 0.452771 1.000000 0.781573
0.479950 0.988596 -0.581088 -0.328910 1.000000 1.279920
0.632493 0.613270 -0.340142 0.456770 1.000000 1.099094
-0.740442 0.414801 0.707375 0.219026 1.000000 0.622946
0.168924 -0.161714 0.860275 0.522909 1.000000 0.889574
0.128110 0.506980 0.778442 0.949853 1.000000 1.474988
-0.820426 0.963600 0.207396 0.009912 1.000000 0.967599
-0.021424 -0.773978 -0.056849 0.307791 1.000000 0.640171
