# x0 x1 amplitude sigma
-0.413652 0.821150 1.000000 0.653054
-0.169847 -0.607664 1.000000 0.657686
0.736152 -0.157215 1.000000 1.485491
0.852546 -0.750284 1.000000 1.404498
-0.824628 0.299420 1.000000 0.686078
-0.360552 0.678873 1.000000 0.767710
-0.467049 -0.151241 1.000000 0.834051
-0.431578 0.521295 1.000000 1.144592
-0.716911 -0.261209 1.000000 0.751407
-0.815533 -0.694866 1.000000 1.135206
-0.428414 -0.748247 1.000000 1.079798
0.540701 -0.446863 1.000000 1.118811
-0.373843 0.492015 1.000000 0.867772
0.278371 -0.056704 1.000000 0.758167
0.785998 -0.541239 1.000000 0.694350
