# x0 x1 amplitude sigma
0.122463 0.740666 1.000000 1.156264
0.343328 -0.959772 1.000000 1.454901
0.525451 0.961391 1.000000 1.470876
-0.733033 -0.679021 1.000000 0.597832
-0.575761 0.787467 1.000000 0.740745
-0.438079 -0.173805 1.000000 1.368642
0.910629 -0.713299 1.000000 1.047453
0.213362 -0.334694 1.000000 1.219153
0.657541 0.956625 1.000000 1.425684
0.470874 0.303471 1.000000 1.117039
-0.510024 0.785995 1.000000 1.166860
0.181619 -0.578446 1.000000 0.833902
0.608072 0.742629 1.000000 0.682911
0.689105 -0.114491 1.000000 0.862462
-0.921961 -0.498672 1.000000 0.901856
