# x0 x1 x2 x3 x4 amplitude sigma
-0.555523 0.850720 -0.451498 -0.799798 0.087009 1.000000 1.269794
-0.979318 0.740743 0.258853 0.292969 -0.450299 1.000000 0.676822
0.286093 0.852820 -0.632864 0.670170 -0.569157 1.000000 0.810710
-0.063185 -0.611612 -0.323156 -0.382875 -0.971437 1.000000 1.300314
-0.314474 -0.209675 0.806620 -0.316559 -0.814947 1.000000 1.074495
-0.694890 -0.869172 0.513991 -0.582386 -0.149829 1.000000 1.269971
-0.085107 0.969227 -0.225415 0.859471 -0.039798 1.000000 1.450761
0.435507 0.339567 0.918761 0.427341 0.518187 1.000000 1.252789
-0.648121 -0.544583 0.239202 -0.547322 -0.571222 1.000000 0.946735
0.599617 0.567162 0.828374 0.657424 -0.108256 1.000000 1.026456
-0.466036 0.296002 -0.156454 -0.791993 -0.605833 1.000000 1.106341
-0.466732 0.879964 0.537803 0.957793 0.752179 1.000000 1.077006
-0.425686 -0.888087 -0.661414 -0.655337 -0.289086 1.000000 1.453819
0.620762 0.038989 -0.875184 -0.552782 0.794445 1.000000 0.921286
0.474987 -0.490388 0.606200 -0.806434 0.942733 1.000000 0.730378
