# x0 x1 x2 amplitude sigma
0.109841 0.233763 0.396544 1.000000 0.875057
0.916241 -0.805874 0.220531 1.000000 1.140305
0.320101 0.696619 0.606331 1.000000 1.450017
-0.032447 0.610590 0.123512 1.000000 0.575677
0.550640 -0.201007 0.287365 1.000000 1.276930
-0.327798 0.370436 -0.484179 1.000000 1.332746
-0.631261 -0.054568 -0.935912 1.000000 0.554806
-0.527139 -0.793458 0.713461 1.000000 1.317677
-0.798994 0.548213 -0.757190 1.000000 1.385351
0.464321 -0.581974 0.428143 1.000000 1.222347
0.626478 -0.354631 0.842168 1.000000 0.502556
0.804277 -0.903545 -0.384210 1.000000 1.481199
-0.415795 -0.665215 0.134286 1.000000 0.843420
-0.481696 -0.241786 0.090440 1.000000 0.594760
0.974179 -0.825570 0.510792 1.000000 0.894643
