# x0 x1 amplitude sigma
-0.601627 -0.976577 1.000000 1.385880
0.559394 0.489603 1.000000 1.288582
0.021863 0.366527 1.000000 0.924728
-0.290466 0.088167 1.000000 0.978870
0.405358 -0.438890 1.000000 0.500354
-0.107279 0.399694 1.000000 1.356367
0.795449 -0.653980 1.000000 0.853322
0.577962 -0.908270 1.000000 0.986749
0.081683 0.252125 1.000000 0.941273
0.221413 0.751832 1.000000 1.438581
-0.273962 0.088235 1.000000 1.217679
0.681323 -0.238247 1.000000 1.340349
-0.232386 -0.745160 1.000000 0.791518
0.326502 -0.949109 1.000000 1.335235
-0.974473 0.158013 1.000000 0.947437
