# x0 x1 amplitude sigma
0.338076 0.251882 1.000000 0.701004
-0.428888 0.954232 1.000000 0.829020
0.934149 -0.945032 1.000000 0.796500
0.540780 0.097203 1.000000 0.593334
0.007765 -0.565105 1.000000 0.833079
-0.048701 -0.921005 1.000000 1.225223
0.598420 -0.004531 1.000000 1.152363
0.273791 -0.258255 1.000000 1.004850
-0.067116 0.838065 1.000000 1.447331
-0.395694 -0.926272 1.000000 1.127402
-0.807294 -0.111808 1.000000 1.492286
0.453499 -0.778829 1.000000 0.576121
-0.292746 -0.546443 1.000000 0.842609
-0.756825 0.578449 1.000000 0.806936
-0.777722 -0.432606 1.000000 1.210205
