# x0 x1 x2 amplitude sigma
0.381604 -0.792095 -0.622776 1.000000 1.112170
-0.733477 -0.963054 -0.692309 1.000000 0.669070
-0.618196 0.638274 0.341420 1.000000 0.936059
-0.807951 -0.800357 0.898708 1.000000 1.269262
-0.457081 0.248170 0.353558 1.000000 0.795325
0.076893 0.448318 0.504346 1.000000 0.649163
0.593272 0.627424 0.899758 1.000000 0.522478
-0.194809 -0.310349 0.708193 1.000000 0.920224
0.078253 -0.025270 0.502003 1.000000 0.738682
-0.288128 0.198194 -0.581531 1.000000 0.837656
0.462640 0.330230 -0.047571 1.000000 1.490712
0.148043 -0.372558 0.824800 1.000000 0.737726
0.211485 -0.559221 0.896300 1.000000 0.581193
0.212036 -0.266457 0.068545 1.000000 1.169600
-0.087775 0.544108 0.552071 1.000000 1.121243
