# x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 amplitude sigma
0.734724 0.713797 -0.753591 -0.069110 -0.384371 0.162505 0.040902 -0.658202 -0.263782 -0.415732 -0.266770 -0.412128 1.000000 0.598320
0.716872 0.323956 0.151801 0.655730 -0.223605 0.675848 0.357028 -0.422713 0.164230 -0.693626 -0.375028 -0.430223 1.000000 1.174365
0.919013 0.796491 0.995402 0.699801 0.161671 -0.449760 0.192814 -0.585648 -0.273860 0.988407 0.126498 0.020176 1.000000 1.150620
0.903667 -0.746293 -0.741248 -0.452215 0.076895 0.596485 -0.794162 0.415238 0.406749 -0.390459 0.846041 0.194700 1.000000 0.915681
-0.048389 -0.556631 -0.733009 0.588242 0.587303 -0.299868 -0.204756 -0.049306 -0.412951 0.043779 0.242270 0.506815 1.000000 1.258203
0.089132 0.893894 -0.912767 -0.821210 -0.245241 -0.023671 0.976939 -0.694341 -0.460513 0.754736 -0.056447 0.634586 1.000000 0.870617
0.371535 0.973240 -0.834041 0.963680 0.680601 -0.537830 -0.894500 0.823524 -0.847397 -0.931078 0.201122 0.321998 1.000000 1.148920
-0.025545 -0.517474 0.997613 0.791563 -0.807050 0.685745 -0.837254 0.765181 -0.085209 -0.919764 0.364097 -0.175107 1.000000 1.496617
-0.861800 0.763491 -0.066425 -0.326450 -0.892089 -0.618308 0.104929 0.374758 -0.611006 -0.696274 -0.908220 0.815319 1.000000 1.479233
0.801564 0.742376 -0.101463 0.410295 0.351429 0.202700 -0.400956 0.746696 0.887750 0.871406 0.939388 -0.951184 1.000000 0.863413
0.363153 0.073139 -0.488623 -0.074926 0.959300 -0.685617 0.983351 0.421129 -0.160775 0.854706 -0.548255 0.865525 1.000000 0.647504
0.835299 0.420271 0.692502 -0.602053 0.272477 -0.377550 0.751703 0.235801 0.612988 -0.855554 -0.510236 0.244650 1.000000 1.130739
-0.426243 -0.374298 -0.466878 -0.013801 -0.994670 0.868528 -0.950292 0.979384 -0.841563 -0.216451 -0.726308 0.902999 1.000000 0.849373
-0.946240 -0.406968 0.237178 0.482911 -0.757357 -0.879118 -0.052461 0.690497 0.844761 0.045443 -0.833055 0.393576 1.000000 1.131552
-0.896115 -0.134782 -0.235806 0.024910 -0.590100 -0.617349 0.121095 0.666619 0.448032 0.871160 -0.357060 0.011304 1.000000 1.339315
