# x0 x1 x2 amplitude sigma
-0.604119 0.041370 -0.245280 1.000000 0.583740
0.408494 -0.559930 -0.104295 1.000000 0.833506
-0.497621 0.413206 -0.338300 1.000000 1.359356
0.782888 0.510428 -0.261559 1.000000 0.605687
0.715075 -0.525929 0.828163 1.000000 1.035640
-0.202582 0.405110 -0.361064 1.000000 0.563690
-0.038963 -0.967770 -0.672582 1.000000 0.796835
-0.419713 -0.505767 -0.276274 1.000000 0.502245
-0.614290 -0.470348 0.387764 1.000000 0.951116
0.241368 0.344804 0.977202 1.000000 1.383620
0.822563 -0.194060 0.893286 1.000000 1.077058
0.456846 0.419574 -0.072178 1.000000 0.748878
-0.139254 -0.883713 -0.344380 1.000000 0.841553
-0.161524 0.160467 -0.974502 1.000000 0.570198
-0.066621 -0.267129 0.099966 1.000000 1.038475
