# x0 x1 x2 x3 amplitude sigma
-0.444285 0.994947 0.404396 -0.892763 1.000000 1.196469
0.026944 0.792499 -0.902502 -0.828355 1.000000 0.786139
0.942991 -0.815530 -0.122785 -0.731205 1.000000 0.726851
-0.354541 -0.024824 0.511822 -0.845473 1.000000 1.051315
-0.378861 -0.613547 0.934696 0.519784 1.000000 1.219469
0.186009 0.871502 0.349080 -0.695115 1.000000 0.923106
-0.846216 0.464167 0.166264 -0.651008 1.000000 1.480764
-0.413852 -0.169997 -0.669672 0.764740 1.000000 1.184830
-0.065594 -0.360857 0.933154 0.787199 1.000000 0.980932
0.465368 -0.652171 -0.730754 -0.657602 1.000000 0.892118
0.293456 -0.873397 0.786242 -0.435183 1.000000 0.843178
0.748123 -0.856624 0.523575 0.059318 1.000000 1.229050
0.167026 -0.788158 0.007935 -0.060381 1.000000 0.938572
-0.769415 0.242476 0.971708 0.339468 1.000000 0.559678
0.785662 0.687415 -0.421869 0.379778 1.000000 0.898044
0.191408 0.086368 0.549292 0.490101 1.000000 1.237995
