# x0 x1 x2 amplitude sigma
-0.770778 0.887302 0.530335 1.000000 0.647921
-0.233119 0.488732 -0.852243 1.000000 0.728298
0.946012 -0.555405 0.876175 1.000000 1.307493
0.173007 0.972030 0.058086 1.000000 0.798475
-0.548729 0.449954 0.904677 1.000000 0.685707
-0.710644 -0.618279 -0.165151 1.000000 1.272137
0.539655 0.202782 -0.082159 1.000000 0.905440
-0.395496 0.494712 0.677994 1.000000 1.495905
-0.456857 -0.489693 0.133680 1.000000 0.985825
0.461542 0.201722 0.727030 1.000000 1.151420
-0.369274 0.765134 -0.273669 1.000000 1.100546
0.118000 -0.506857 -0.115749 1.000000 0.523423
-0.790594 -0.105033 0.969767 1.000000 0.828458
0.963822 -0.594288 0.678595 1.000000 1.320269
0.786819 -0.067470 0.631689 1.000000 0.941304
