# x0 x1 amplitude sigma
0.682610 0.248984 1.000000 1.120374
0.104400 0.709555 1.000000 1.008953
0.968916 -0.955704 1.000000 0.798245
0.505169 -0.201666 1.000000 1.153799
0.519268 0.339041 1.000000 0.773507
0.146895 -0.593470 1.000000 1.023126
-0.469861 -0.752849 1.000000 0.873250
-0.166983 0.086661 1.000000 0.869279
-0.178158 -0.501536 1.000000 1.234694
0.364389 -0.505405 1.000000 1.148639
-0.763631 -0.062326 1.000000 1.425797
-0.605742 -0.492774 1.000000 0.727148
0.732910 -0.422259 1.000000 0.905553
0.629576 -0.151967 1.000000 1.383681
-0.930975 -0.936055 1.000000 0.708901
