# x0 x1 x2 amplitude sigma
0.203049 -0.225347 -0.386271 1.000000 0.932111
0.744821 0.931172 0.230728 1.000000 0.674215
0.798738 -0.013030 -0.520683 1.000000 0.670944
0.284412 -0.431648 0.211136 1.000000 1.327632
-0.403466 -0.970788 -0.516996 1.000000 1.087171
-0.967522 0.578107 -0.059528 1.000000 0.959354
0.814989 0.830616 -0.497567 1.000000 1.322685
-0.382567 -0.818742 -0.935734 1.000000 1.321548
0.943436 0.421511 0.684971 1.000000 0.807120
0.251917 -0.089988 -0.419556 1.000000 0.700894
0.413236 0.782822 0.519022 1.000000 0.903232
-0.508307 -0.624326 0.223203 1.000000 1.447889
-0.378551 0.802621 0.254101 1.000000 1.177544
0.138686 0.938960 -0.839048 1.000000 1.108975
0.687170 0.850304 -0.654499 1.000000 1.172363
