# x0 x1 x2 amplitude sigma
-0.327152 0.053937 0.621598 1.000000 0.647921
-0.158743 0.589650 -0.263956 1.000000 0.728298
0.297373 -0.759611 -0.156762 1.000000 1.307493
-0.872780 -0.596843 0.787670 1.000000 0.798475
-0.329596 -0.596272 0.609737 1.000000 0.685707
-0.967813 -0.221239 -0.510689 1.000000 1.272137
-0.643356 -0.351385 0.272580 1.000000 0.905440
0.958803 0.665605 -0.624399 1.000000 1.495905
-0.994473 -0.025374 0.722205 1.000000 0.985825
0.297947 -0.184413 -0.932693 1.000000 1.151420
-0.847868 0.681751 0.595787 1.000000 1.100546
-0.815033 0.982809 -0.537002 1.000000 0.523423
0.193418 0.758618 0.306546 1.000000 0.828458
0.153023 -0.586645 0.044064 1.000000 1.320269
-0.565881 0.666764 -0.375556 1.000000 0.941304
