# x0 x1 amplitude sigma
0.183712 0.911486 1.000000 0.546041
-0.181432 -0.753369 1.000000 0.870242
0.651678 0.509963 1.000000 0.742318
-0.653142 0.570180 1.000000 1.128480
-0.281452 -0.388707 1.000000 1.490110
-0.443982 -0.102666 1.000000 0.630588
0.577110 0.404207 1.000000 0.673589
-0.101253 -0.363196 1.000000 0.758314
0.857647 0.816076 1.000000 0.918399
-0.367428 -0.358562 1.000000 0.631019
-0.273582 -0.473826 1.000000 0.790450
-0.367652 0.151475 1.000000 0.995306
0.051069 -0.235608 1.000000 1.467004
-0.058517 0.692083 1.000000 0.797390
-0.380963 -0.978942 1.000000 1.151802
