# x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 amplitude sigma
-0.596251 0.656725 -0.066457 0.237649 -0.312419 -0.657623 0.064469 -0.294469 -0.606223 -0.667146 0.067129 0.176051 1.000000 1.345878
0.599950 -0.990794 -0.568125 -0.050361 -0.732457 0.746666 -0.429493 0.107120 -0.138355 0.069908 -0.187696 0.309684 1.000000 0.603590
0.386566 -0.350771 0.345419 0.210811 0.219245 0.530297 -0.502406 -0.464203 0.001843 0.811350 0.054304 -0.369033 1.000000 0.523432
0.991568 0.397656 0.042996 0.823064 0.130735 0.307876 -0.897850 0.617895 0.107884 -0.233281 -0.120486 -0.147175 1.000000 1.378478
0.469666 0.770658 -0.767574 0.546614 -0.290954 -0.623182 -0.476766 -0.695663 0.779436 -0.731817 -0.795802 -0.747381 1.000000 0.631563
0.284776 -0.209801 0.241411 -0.807461 0.044618 0.145745 0.739708 0.983561 0.449872 -0.831753 -0.012232 0.149140 1.000000 1.085530
-0.451019 -0.084099 0.206639 -0.565603 -0.078476 -0.359450 0.369229 -0.082842 0.661660 -0.557764 -0.989450 0.098339 1.000000 0.599078
-0.749823 0.138060 -0.627799 0.108958 0.957293 0.014210 -0.584618 -0.229739 -0.402419 -0.433634 0.037003 -0.298208 1.000000 1.294118
-0.138541 0.769358 -0.314882 -0.287493 0.360620 0.489704 -0.786421 -0.986572 -0.611853 -0.146691 -0.277911 0.804356 1.000000 0.557625
0.883705 0.401494 -0.020438 -0.569968 0.352538 -0.334917 -0.397208 -0.512686 0.203348 0.159410 -0.306126 0.344914 1.000000 1.033605
-0.515242 -0.882153 0.806493 0.927813 0.646754 0.774552 -0.171388 -0.568877 -0.573040 0.930179 -0.769215 0.904485 1.000000 0.707440
-0.495737 -0.767873 0.796995 -0.476953 -0.665980 -0.581345 -0.597107 -0.354686 -0.640511 -0.724690 0.819806 -0.896682 1.000000 0.726894
0.044988 0.701104 0.649550 -0.139264 0.822827 -0.378366 -0.440034 -0.668395 0.619184 -0.844124 -0.041531 0.466051 1.000000 0.697360
0.966594 0.165156 0.863225 0.819649 0.663499 -0.449175 -0.576816 0.194322 0.376362 -0.236758 0.496398 -0.177208 1.000000 0.500506
0.943562 -0.133143 0.606007 0.664620 0.884842 -0.744440 0.963698 -0.638643 0.375103 0.281114 0.175792 -0.243132 1.000000 1.154706
