# x0 x1 x2 x3 amplitude sigma
0.753844 -0.187645 -0.710091 -0.376067 1.000000 1.023833
0.348052 -0.968156 -0.319538 -0.596229 1.000000 0.539963
-0.919327 0.047845 0.695277 0.344689 1.000000 0.685965
0.792303 -0.427147 0.573941 0.700157 1.000000 1.272791
-0.255864 0.691528 0.138296 0.972155 1.000000 1.052149
-0.589571 0.644647 0.721718 0.427482 1.000000 0.586277
0.699798 -0.993755 0.803581 -0.468558 1.000000 0.941395
-0.369197 -0.014078 0.547344 -0.020146 1.000000 1.215549
-0.242505 -0.132640 -0.987251 -0.685398 1.000000 1.170553
-0.140454 0.159910 0.053464 0.984851 1.000000 0.972846
-0.012983 0.415486 0.889908 0.058058 1.000000 1.406161
-0.964685 -0.990728 0.737166 -0.031889 1.000000 0.604918
-0.273248 0.109197 -0.874994 -0.866584 1.000000 0.674732
-0.825122 -0.956789 -0.991386 0.103860 1.000000 0.588920
0.491812 -0.308114 0.918169 0.227124 1.000000 1.149656
-0.021062 0.698059 0.773776 -0.475854 1.000000 0.571387
