# x0 x1 x2 x3 x4 amplitude sigma
-0.131973 -0.255205 0.613285 0.455146 0.873063 1.000000 0.998109
-0.902975 -0.973785 0.187015 -0.620121 0.006898 1.000000 1.118907
0.827410 -0.867659 0.835957 -0.680941 -0.290355 1.000000 0.799821
-0.519859 -0.324924 0.694585 -0.420057 0.604585 1.000000 0.760703
-0.473458 -0.513275 -0.902362 0.807641 -0.089484 1.000000 0.833855
-0.331783 -0.781055 -0.289225 0.627052 0.888732 1.000000 1.402361
0.290961 0.734653 0.829028 0.103667 0.176962 1.000000 0.862832
-0.471354 0.218263 -0.816113 0.756805 -0.575158 1.000000 0.506344
-0.400116 0.837990 0.025258 0.343801 -0.831179 1.000000 1.444796
-0.222135 0.398057 0.520520 0.532348 -0.674849 1.000000 1.260953
0.300139 -0.277644 -0.913325 -0.467745 -0.737008 1.000000 1.102995
-0.096410 -0.615933 -0.781188 0.714313 -0.938383 1.000000 0.774703
-0.243127 -0.418505 -0.024987 0.014942 0.076446 1.000000 1.488924
0.087948 -0.271290 -0.818517 -0.976007 0.530958 1.000000 0.925721
-0.645581 0.326869 0.752166 0.880094 0.922569 1.000000 1.241833
