# x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 amplitude sigma
0.693841 0.749658 0.048014 -0.365675 0.359308 0.603512 0.224201 -0.004099 0.173532 -0.676540 0.298401 0.280417 0.106505 0.124052 -0.974883 -0.849360 -0.268235 0.404996 1.000000 0.711238
-0.778573 -0.421496 -0.967794 0.905830 0.960075 -0.673085 -0.749391 0.910968 0.682025 -0.828834 0.605270 -0.469828 0.946375 -0.857521 0.087555 0.868563 -0.222334 -0.013191 1.000000 1.389677
0.487654 0.301156 -0.355045 -0.264296 -0.691458 -0.428397 -0.558759 0.324875 0.045182 -0.095158 0.737836 0.414436 -0.991546 -0.297179 -0.982566 -0.717106 0.226875 -0.078620 1.000000 0.533029
0.834053 -0.734294 0.582294 -0.361039 -0.864605 0.154694 0.716810 -0.311005 -0.329232 0.950807 0.544764 -0.298776 -0.510514 0.777548 -0.567264 0.718650 0.775522 -0.423790 1.000000 1.344609
0.214648 0.672800 -0.653953 -0.695833 -0.797981 0.139722 0.305380 0.625909 -0.177293 -0.455339 0.568703 -0.826251 -0.496273 0.722887 0.129966 0.167990 0.315986 0.144339 1.000000 0.688719
-0.379697 0.420348 0.314915 0.322614 -0.165500 0.431984 -0.290893 0.549917 -0.610707 -0.454805 -0.760106 -0.908748 -0.876863 -0.595064 -0.922802 0.786204 0.044438 0.317937 1.000000 0.757956
0.343065 0.524801 -0.615696 -0.600406 0.829420 0.944792 0.127969 -0.679660 -0.890647 -0.223832 0.771297 -0.066671 0.766865 -0.937217 0.983716 0.979641 0.883547 0.970075 1.000000 0.670522
-0.230696 -0.987786 -0.787031 0.031781 -0.558218 0.727995 -0.760857 -0.924140 -0.410665 0.333698 -0.725407 -0.164367 -0.810330 -0.868265 -0.105805 -0.747024 0.204535 -0.922923 1.000000 0.972482
-0.756362 0.732462 0.106283 -0.353992 0.542930 -0.050304 0.284122 -0.974379 -0.368715 -0.268363 0.868009 0.461929 -0.293144 -0.522632 -0.485352 0.520682 -0.480672 -0.177911 1.000000 1.359554
-0.873046 0.811707 -0.724694 0.340074 0.252370 0.744895 -0.231819 0.043265 -0.982086 0.742957 -0.962705 -0.851231 -0.168757 0.386202 -0.188339 -0.794873 0.252383 0.578490 1.000000 1.383927
0.555740 0.966031 -0.583859 0.186779 0.726685 0.492157 0.731360 -0.160792 -0.354684 0.235876 -0.140563 -0.308863 -0.005445 -0.434338 0.277878 -0.863025 0.111706 -0.686474 1.000000 1.197524
-0.008797 0.121215 -0.737066 0.951216 -0.669390 -0.802035 0.203926 0.566265 -0.520358 0.446113 0.446705 0.392541 -0.534160 -0.996443 0.833220 0.335050 0.618494 -0.727843 1.000000 0.816293
-0.552491 0.315135 -0.039171 -0.302011 -0.847984 0.807523 0.732993 -0.766687 0.504248 -0.430956 0.980973 -0.051611 0.989767 -0.264186 -0.296564 0.188460 0.298395 -0.647371 1.000000 1.460914
-0.833275 -0.124424 0.521575 0.991740 0.950090 0.555203 -0.551421 0.729477 0.045225 0.662645 0.016782 -0.771870 -0.582622 -0.555833 0.733545 0.594792 0.181786 0.772626 1.000000 0.615711
-0.061384 -0.064257 -0.461273 -0.923310 -0.394884 0.705599 -0.005053 0.489964 0.481337 0.665909 0.279873 0.396629 -0.389780 0.368664 -0.389255 0.237469 0.870207 -0.387604 1.000000 0.531077
