# x0 x1 amplitude sigma
-0.045640 0.732964 1.000000 1.147551
0.965822 -0.243070 1.000000 1.007150
-0.927462 -0.586526 1.000000 1.028341
-0.760320 0.963677 1.000000 1.396285
-0.532158 -0.498151 1.000000 1.199991
0.545083 0.333183 1.000000 1.214297
-0.843318 0.122173 1.000000 1.217338
-0.662615 0.009918 1.000000 0.722819
0.014831 -0.522461 1.000000 0.675155
-0.730797 -0.663414 1.000000 0.956841
0.540688 -0.430822 1.000000 1.428738
0.348546 0.996883 1.000000 0.509886
-0.977849 0.605399 1.000000 0.589922
0.086128 0.964761 1.000000 1.350200
-0.603668 0.992557 1.000000 0.985621
