# x0 x1 x2 amplitude sigma
0.851779 0.106902 0.328980 1.000000 0.616059
-0.509815 -0.943085 0.522430 1.000000 1.158455
-0.031761 0.180920 -0.480460 1.000000 0.875589
-0.036890 0.043803 0.192489 1.000000 1.112783
0.261382 -0.297534 -0.601137 1.000000 1.179491
-0.999894 0.952749 0.716582 1.000000 1.182463
0.327763 -0.629740 -0.401842 1.000000 1.455010
0.566879 -0.266812 -0.771455 1.000000 1.137223
-0.462589 0.483295 -0.180753 1.000000 1.012944
0.350697 -0.181453 -0.574284 1.000000 0.586176
0.591139 0.786206 0.544453 1.000000 0.887468
0.522689 0.789585 -0.566555 1.000000 0.790444
0.461078 0.131912 -0.032039 1.000000 0.635401
0.645189 -0.869154 -0.496774 1.000000 0.510106
0.684387 0.035896 -0.570733 1.000000 0.912832
