# x0 x1 x2 amplitude sigma
0.673869 0.183372 -0.373466 1.000000 0.932111
0.124483 0.558574 0.092075 1.000000 0.674215
-0.634856 0.908508 -0.213165 1.000000 0.670944
-0.512018 -0.147446 -0.892111 1.000000 1.327632
-0.147382 -0.757498 0.508938 1.000000 1.087171
0.873930 0.168805 -0.607344 1.000000 0.959354
-0.849721 -0.817249 0.323264 1.000000 1.322685
-0.748217 0.306397 -0.198541 1.000000 1.321548
0.582496 0.312308 0.326487 1.000000 0.807120
0.584006 -0.639733 0.221182 1.000000 0.700894
0.627271 -0.539897 0.387809 1.000000 0.903232
0.107730 -0.031170 0.398849 1.000000 1.447889
-0.015402 -0.264075 -0.053311 1.000000 1.177544
-0.056435 -0.407848 0.848332 1.000000 1.108975
0.809963 0.972611 0.883332 1.000000 1.172363
