# x0 x1 x2 x3 x4 amplitude sigma
-0.633628 -0.608323 0.693055 0.669757 -0.912431 1.000000 0.866696
-0.123974 -0.322834 0.036384 -0.652695 -0.996839 1.000000 1.132981
-0.687334 -0.848042 0.013709 0.897992 0.610987 1.000000 0.530831
0.646047 0.968406 -0.296271 0.905992 0.694973 1.000000 1.191256
0.204802 -0.606045 -0.967152 -0.450894 -0.947542 1.000000 1.437811
0.524063 -0.313872 -0.845376 0.047434 -0.591887 1.000000 1.441416
0.872755 0.524684 -0.268547 0.834035 -0.299753 1.000000 0.886083
-0.867458 0.274410 -0.870154 0.646592 -0.313550 1.000000 0.574266
-0.438403 0.733559 -0.398304 -0.716299 0.346085 1.000000 0.985595
0.447709 0.445355 0.666130 -0.581520 0.088199 1.000000 1.070020
0.506798 -0.363284 0.855773 0.136822 0.177225 1.000000 1.109842
-0.991147 -0.854768 0.143993 0.697277 -0.043612 1.000000 1.194522
0.736535 -0.966023 -0.147359 -0.195476 -0.483136 1.000000 0.523159
-0.992654 -0.752215 -0.718470 0.461837 -0.543144 1.000000 1.475896
0.434422 0.895739 -0.440244 0.085469 -0.984623 1.000000 0.507398
