# x0 x1 x2 amplitude sigma
0.992851 0.452391 -0.782963 1.000000 0.662705
-0.083120 0.648506 -0.684264 1.000000 1.254781
0.543295 -0.386778 -0.760999 1.000000 1.063402
-0.456685 -0.221425 -0.027678 1.000000 0.725264
0.834251 -0.775787 -0.657588 1.000000 0.841262
0.435601 0.173880 -0.795328 1.000000 0.652491
0.643351 0.628517 0.687783 1.000000 0.845191
-0.409669 -0.502069 -0.291072 1.000000 0.541675
-0.584673 0.612623 -0.535297 1.000000 0.747940
0.848956 0.755570 -0.149891 1.000000 1.099773
-0.226384 0.050365 -0.187133 1.000000 1.470971
0.341129 -0.076019 0.783550 1.000000 1.202064
-0.936607 -0.906565 -0.386457 1.000000 1.219949
-0.270163 -0.243818 -0.534474 1.000000 0.697618
0.547049 -0.975570 -0.710901 1.000000 0.995802
