# x0 x1 amplitude sigma
-0.372738 -0.845697 1.000000 0.701004
0.521435 -0.893157 1.000000 0.829020
-0.240241 0.175968 1.000000 0.796500
-0.641519 -0.532488 1.000000 0.593334
0.757732 0.542711 1.000000 0.833079
0.111781 0.182868 1.000000 1.225223
-0.102664 -0.775723 1.000000 1.152363
-0.806622 0.363557 1.000000 1.004850
0.607498 0.982307 1.000000 1.447331
-0.987857 0.788098 1.000000 1.127402
-0.035349 0.965707 1.000000 1.492286
-0.674216 -0.214051 1.000000 0.576121
0.541027 -0.590796 1.000000 0.842609
0.353572 -0.602545 1.000000 0.806936
0.879381 0.737995 1.000000 1.210205
