# x0 x1 amplitude sigma
0.666533 0.975793 1.000000 1.385880
-0.547969 0.688047 1.000000 1.288582
0.454568 0.685121 1.000000 0.924728
-0.916708 -0.612423 1.000000 0.978870
-0.340280 -0.607336 1.000000 0.500354
-0.883634 0.984461 1.000000 1.356367
0.119853 -0.910739 1.000000 0.853322
0.093552 0.761795 1.000000 0.986749
0.403538 -0.847690 1.000000 0.941273
-0.675991 0.410967 1.000000 1.438581
0.392743 -0.187542 1.000000 1.217679
0.346023 0.549514 1.000000 1.340349
0.839599 -0.115329 1.000000 0.791518
0.414506 -0.648839 1.000000 1.335235
0.532056 -0.623977 1.000000 0.947437
