# x0 x1 x2 x3 amplitude sigma
0.258017 0.560595 -0.534766 0.634356 1.000000 0.641630
-0.368260 -0.835377 -0.264049 0.058016 1.000000 0.811544
-0.684572 -0.691161 -0.894608 -0.140097 1.000000 1.054792
0.399442 0.197066 0.366449 0.582284 1.000000 0.625811
0.336074 0.692890 -0.107414 0.188792 1.000000 0.993883
0.741612 0.092572 -0.393774 -0.028361 1.000000 1.421128
-0.791150 0.817190 -0.802298 0.773132 1.000000 0.879845
0.483863 0.001127 0.580853 -0.413845 1.000000 0.626450
-0.110747 0.760808 -0.231640 -0.908992 1.000000 1.498751
0.538885 -0.324132 0.653937 0.199737 1.000000 1.270924
-0.185307 -0.175825 0.363395 -0.120319 1.000000 1.230110
0.018943 -0.321374 0.451306 0.051654 1.000000 0.531619
-0.319141 0.828198 -0.305823 0.172506 1.000000 1.310339
0.355788 0.592530 0.825335 -0.335049 1.000000 0.551497
-0.105034 -0.878717 0.589941 0.989334 1.000000 1.071218
-0.017860 0.587266 0.740318 0.458699 1.000000 0.839441
