# x0 x1 amplitude sigma
-0.062380 0.262417 1.000000 0.653054
0.322319 -0.327315 1.000000 0.657686
0.473467 -0.751265 1.000000 1.485491
0.586854 0.256369 1.000000 1.404498
0.154079 0.631572 1.000000 0.686078
0.451582 -0.995096 1.000000 0.767710
0.515812 -0.222230 1.000000 0.834051
0.596953 0.933532 1.000000 1.144592
0.288042 -0.670245 1.000000 0.751407
0.251469 -0.335707 1.000000 1.135206
0.928865 -0.656439 1.000000 1.079798
0.997651 -0.470773 1.000000 1.118811
-0.664153 -0.593283 1.000000 0.867772
0.671485 0.571725 1.000000 0.758167
0.416747 0.297279 1.000000 0.694350
