# x0 x1 x2 amplitude sigma
-0.811075 0.162075 -0.438277 1.000000 0.583740
-0.973981 0.700419 -0.275242 1.000000 0.833506
0.759179 -0.263006 0.070514 1.000000 1.359356
0.814674 0.419252 -0.101736 1.000000 0.605687
0.992684 -0.090608 -0.341252 1.000000 1.035640
0.477328 0.027414 -0.223564 1.000000 0.563690
-0.628146 0.198175 -0.209097 1.000000 0.796835
0.423248 0.293617 0.916931 1.000000 0.502245
0.086005 0.462830 0.564577 1.000000 0.951116
0.721364 0.943000 -0.004017 1.000000 1.383620
0.754969 -0.907122 -0.016140 1.000000 1.077058
0.393378 -0.092110 0.949267 1.000000 0.748878
0.830029 0.148923 0.160300 1.000000 0.841553
-0.195619 0.734668 0.880322 1.000000 0.570198
-0.004497 -0.461768 0.402221 1.000000 1.038475
