# x0 x1 amplitude sigma
-0.665459 -0.614202 1.000000 0.757042
-0.399048 -0.735382 1.000000 1.183788
-0.105146 0.318988 1.000000 1.163642
-0.947930 0.734701 1.000000 1.277130
0.078835 -0.305332 1.000000 1.327367
-0.208203 0.378449 1.000000 0.856684
0.120683 -0.883462 1.000000 0.886736
-0.059401 -0.149408 1.000000 1.243409
-0.397495 -0.857038 1.000000 0.782541
-0.913313 -0.963749 1.000000 0.794077
0.751485 -0.024373 1.000000 1.073991
-0.444919 0.146063 1.000000 0.547124
0.625496 -0.788609 1.000000 0.887084
-0.611479 0.822006 1.000000 1.334577
0.606425 0.176662 1.000000 1.021067
